Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17
ARI,DET,IND,DAL,SFO,PHI,TAM,LAR,BYE,SFO,SEA,HOU,JAX,LAR,TEN,WAS,NYG,SEA
ATL,CHI,GNB,DET,BUF,BYE,MIA,NWE,NYJ,CAR,DAL,SEA,TAM,MIN,NOR,TAM,NOR,CAR
BAL,CIN,CLE,JAX,PIT,OAK,CHI,MIN,MIA,TEN,BYE,GNB,HOU,DET,PIT,CLE,IND,CIN
BUF,NYJ,CAR,DEN,ATL,CIN,BYE,TAM,OAK,NYJ,NOR,LAC,KAN,NWE,IND,MIA,NWE,MIA
CAR,SFO,BUF,NOR,NWE,DET,PHI,CHI,TAM,ATL,MIA,BYE,NYJ,NOR,MIN,GNB,TAM,ATL
CHI,ATL,TAM,PIT,GNB,MIN,BAL,CAR,NOR,BYE,GNB,DET,PHI,SFO,CIN,DET,CLE,MIN
CIN,BAL,HOU,GNB,CLE,BUF,BYE,PIT,IND,JAX,TEN,DEN,CLE,PIT,CHI,MIN,DET,BAL
CLE,PIT,BAL,IND,CIN,NYJ,HOU,TEN,MIN,BYE,DET,JAX,CIN,LAC,GNB,BAL,CHI,PIT
DAL,NYG,DEN,ARI,LAR,GNB,BYE,SFO,WAS,KAN,ATL,PHI,LAC,WAS,NYG,OAK,SEA,PHI
DEN,LAC,DAL,BUF,OAK,BYE,NYG,LAC,KAN,PHI,NWE,CIN,OAK,MIA,NYJ,IND,WAS,KAN
DET,ARI,NYG,ATL,MIN,CAR,NOR,BYE,PIT,GNB,CLE,CHI,MIN,BAL,TAM,CHI,CIN,GNB
GNB,SEA,ATL,CIN,CHI,DAL,MIN,NOR,BYE,DET,CHI,BAL,PIT,TAM,CLE,CAR,MIN,DET
HOU,JAX,CIN,NWE,TEN,KAN,CLE,BYE,SEA,IND,LAR,ARI,BAL,TEN,SFO,JAX,PIT,IND
IND,LAR,ARI,CLE,SEA,SFO,TEN,JAX,CIN,HOU,PIT,BYE,TEN,JAX,BUF,DEN,BAL,HOU
JAX,HOU,TEN,BAL,NYJ,PIT,LAR,IND,BYE,CIN,LAC,CLE,ARI,IND,SEA,HOU,SFO,TEN
KAN,NWE,PHI,LAC,WAS,HOU,PIT,OAK,DEN,DAL,BYE,NYG,BUF,NYJ,OAK,LAC,MIA,DEN
LAC,DEN,MIA,KAN,PHI,NYG,OAK,DEN,NWE,BYE,JAX,BUF,DAL,CLE,WAS,KAN,NYJ,OAK
LAR,IND,WAS,SFO,DAL,SEA,JAX,ARI,BYE,NYG,HOU,MIN,NOR,ARI,PHI,SEA,TEN,SFO
OAK,TEN,NYJ,WAS,DEN,BAL,LAC,KAN,BUF,MIA,BYE,NWE,DEN,NYG,KAN,DAL,PHI,LAC
MIA,BYE,LAC,NYJ,NOR,TEN,ATL,NYJ,BAL,OAK,CAR,TAM,NWE,DEN,NWE,BUF,KAN,BUF
MIN,NOR,PIT,TAM,DET,CHI,GNB,BAL,CLE,BYE,WAS,LAR,DET,ATL,CAR,CIN,GNB,CHI
NWE,KAN,NOR,HOU,CAR,TAM,NYJ,ATL,LAC,BYE,DEN,OAK,MIA,BUF,MIA,PIT,BUF,NYJ
NOR,MIN,NWE,CAR,MIA,BYE,DET,GNB,CHI,TAM,BUF,WAS,LAR,CAR,ATL,NYJ,ATL,TAM
NYG,DAL,DET,PHI,TAM,LAC,DEN,SEA,BYE,LAR,SFO,KAN,WAS,OAK,DAL,PHI,ARI,WAS
NYJ,BUF,OAK,MIA,JAX,CLE,NWE,MIA,ATL,BUF,TAM,BYE,CAR,KAN,DEN,NOR,LAC,NWE
PHI,WAS,KAN,NYG,LAC,ARI,CAR,WAS,SFO,DEN,BYE,DAL,CHI,SEA,LAR,NYG,OAK,DAL
PIT,CLE,MIN,CHI,BAL,JAX,KAN,CIN,DET,BYE,IND,TEN,GNB,CIN,BAL,NWE,HOU,CLE
SEA,GNB,SFO,TEN,IND,LAR,BYE,NYG,HOU,WAS,ARI,ATL,SFO,PHI,JAX,LAR,DAL,ARI
SFO,CAR,SEA,LAR,ARI,IND,WAS,DAL,PHI,ARI,NYG,BYE,SEA,CHI,HOU,TEN,JAX,LAR
TAM,BYE,CHI,MIN,NYG,NWE,ARI,BUF,CAR,NOR,NYJ,MIA,ATL,GNB,DET,ATL,CAR,NOR
TEN,OAK,JAX,SEA,HOU,MIA,IND,CLE,BYE,BAL,CIN,PIT,IND,HOU,ARI,SFO,LAR,JAX
WAS,PHI,LAR,OAK,KAN,BYE,SFO,PHI,DAL,SEA,MIN,NOR,NYG,DAL,LAC,ARI,DEN,NYG
