Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Philip Rivers,LAC,QB,20.4,31
Marcus Mariota,TEN,QB,23.28,31
Mason Rudolph,PIT,QB,16.86,25
Jameis Winston,TAM,QB,29.3,12
Matthew Stafford,DET,QB,23.44,14
Russell Wilson,SEA,QB,14.3,32
Carson Wentz,PHI,QB,19.7,4
Jaylen Samuels,PIT,RB,23.54,28
Derek Carr,OAK,QB,13.46,19
Baker Mayfield,CLE,QB,15.78,2
Chase Daniel,CHI,QB,12.2,10
Joe Flacco,DEN,QB,22.02,21
Gardner Minshew,JAX,QB,16.72,7
Lamar Jackson,BAL,QB,24.48,20
Tyrod Taylor,LAC,QB,0.18,31
Aaron Rodgers,GNB,QB,25.48,15
Kirk Cousins,MIN,QB,7.32,8
Kyle Allen,CAR,QB,3.28,28
Josh Rosen,MIA,QB,9.2,6
Matt Ryan,ATL,QB,15.68,17
Jacoby Brissett,IND,QB,22.5,29
Patrick Mahomes,KAN,QB,18.0,26
Jared Goff,LAR,QB,20.68,24
Teddy Bridgewater,NOR,QB,6.52,13
Daniel Jones,NYG,QB,12.3,13
Kyler Murray,ARI,QB,16.34,16
Deshaun Watson,HOU,QB,11.6,11
Dak Prescott,DAL,QB,7.62,22
Mitchell Trubisky,CHI,QB,0.36,10
Andy Dalton,CIN,QB,3.64,5
Matt Barkley,BUF,QB,3.08,1
Tom Brady,NWE,QB,3.7,3
Odell Beckham,CLE,WR,4.0,15
Dwayne Haskins,WAS,QB,0.58,30
Josh Allen,BUF,QB,8.72,1
Case Keenum,WAS,QB,-0.52,30
DeAndre Hopkins,HOU,WR,7.1,22
Leonard Fournette,JAX,RB,26.5,9
Nick Chubb,CLE,RB,39.3,8
Kerryon Johnson,DET,RB,15.7,26
Frank Gore,BUF,RB,10.9,1
Chris Carson,SEA,RB,18.5,20
Derrick Henry,TEN,RB,11.8,20
Christian McCaffrey,CAR,RB,33.9,23
Jordan Howard,PHI,RB,32.5,24
Josh Jacobs,OAK,RB,12.8,6
Trevor Davis,OAK,WR,13.4,23
Miles Sanders,PHI,RB,7.2,24
Mark Ingram,BAL,RB,6.1,25
Ronald Jones,TAM,RB,15.2,19
Alvin Kamara,NOR,RB,11.9,13
Wayne Gallman,NYG,RB,27.8,13
Sony Michel,NWE,RB,6.3,14
Joe Mixon,CIN,RB,10.3,5
Austin Ekeler,LAC,RB,29.2,27
Carlos Hyde,HOU,RB,10.4,32
Duke Johnson,HOU,RB,9.8,32
LeSean McCoy,KAN,RB,16.9,30
Phillip Lindsay,DEN,RB,7.0,31
David Montgomery,CHI,RB,9.7,12
Kenyan Drake,MIA,RB,10.3,21
Ryquell Armstead,JAX,RB,11.9,9
James Conner,PIT,RB,26.5,28
David Johnson,ARI,RB,21.9,18
Marlon Mack,IND,RB,3.9,22
Chase Edmonds,ARI,RB,3.7,18
Dalvin Cook,MIN,RB,19.0,16
Ezekiel Elliott,DAL,RB,16.5,4
Jon Hilliman,NYG,RB,1.3,4
J.D. McKissic,DET,RB,5.1,26
Gus Edwards,BAL,RB,4.6,25
Devonta Freeman,ATL,RB,18.0,17
Adrian Peterson,WAS,RB,2.8,15
Dontrell Hilliard,CLE,RB,13.4,8
Sterling Shepard,NYG,WR,16.9,8
Mark Walton,MIA,RB,5.4,21
Aaron Jones,GNB,RB,17.8,7
Troymaine Pope,LAC,RB,11.4,27
Peyton Barber,TAM,RB,7.9,19
DeAndre Washington,OAK,RB,4.6,6
Jalen Richard,OAK,RB,2.8,6
Jordan Wilkins,IND,RB,3.8,22
Royce Freeman,DEN,RB,9.0,31
Todd Gurley,LAR,RB,26.0,2
Taysom Hill,NOR,QB,1.6,13
Dion Lewis,TEN,RB,6.0,13
Malcolm Brown,LAR,RB,1.4,2
Latavius Murray,NOR,RB,3.0,13
Ty Johnson,DET,RB,2.4,26
Darrel Williams,KAN,RB,18.6,30
Elijhaa Penny,NYG,RB,1.2,30
Tarik Cohen,CHI,RB,9.8,12
Ito Smith,ATL,RB,11.1,17
Keke Coutee,HOU,WR,3.1,22
Deonte Harris,NOR,WR/RS,1.0,22
Phillip Dorsett,NWE,WR,3.9,3
Justice Hill,BAL,RB,3.7,25
Geronimo Allison,GNB,WR,14.9,30
Kalen Ballage,MIA,RB,0.7,21
Nyheim Hines,IND,RB,10.5,22
Christian Kirk,ARI,WR,8.3,18
Andy Isabella,ARI,WR,0.5,18
Alexander Mattison,MIN,RB,2.3,16
Brandon Bolden,NWE,RB,6.4,14
Cordarrelle Patterson,CHI,WR,1.7,24
C.J. Prosise,SEA,RB,6.4,20
Darren Sproles,PHI,RB,0.4,24
Chris Thompson,WAS,RB,10.0,15
Tavon Austin,DAL,WR,1.8,28
Giovani Bernard,CIN,RB,5.9,5
Danny Vitale,GNB,RB,3.8,7
Alec Ingold,OAK,RB,0.1,6
Julio Jones,ATL,WR,9.3,16
Curtis Samuel,CAR,WR,6.3,21
Benny Snell,PIT,RB,0.1,28
James White,NWE,RB,13.8,14
Dare Ogunbowale,TAM,RB,4.6,19
Jakeem Grant,MIA,WR,1.4,4
Cooper Kupp,LAR,WR,26.9,32
Davante Adams,GNB,WR,28.0,30
Chris Godwin,TAM,WR,41.2,10
Jarvis Landry,CLE,WR,24.7,15
Robert Woods,LAR,WR,29.4,32
Austin Hooper,ATL,TE,22.0,28
Stefon Diggs,MIN,WR,15.8,5
Emmanuel Sanders,DEN,WR,15.4,12
Michael Thomas,NOR,WR,18.5,6
A.J. Brown,TEN,WR,24.4,6
Corey Davis,TEN,WR,20.1,6
Mohamed Sanu,ATL,WR,18.1,16
Mike Evans,TAM,WR,18.9,10
Travis Kelce,KAN,TE,15.5,13
Ricky Seals-Jones,CLE,TE,17.2,1
Diontae Johnson,PIT,WR,17.7,14
