Team,QB Rank,RB Rank,WR Rank,TE Rank
ARI,32,20,20,32
Atlanta Falcons,27,11,19,18
BAL,2,8,15,1
BUF,3,14,3,7
CAR,11,32,22,5
CHI,8,16,5,20
CIN,25,28,14,17
CLE,20,25,7,26
DAL,13,13,6,25
DEN,7,9,13,10
DET,26,30,27,13
GNB,4,24,11,19
HOU,28,23,21,24
IND,19,6,23,15
JAX,21,31,12,23
KAN,14,26,2,22
OAK,29,22,25,30
LAC,6,21,4,9
LAR,12,19,10,12
MIA,31,27,31,21
MIN,10,12,24,2
NWE,1,1,1,8
NOR,22,4,28,11
NYG,30,15,29,16
NYJ,18,10,26,4
PHI,15,7,30,3
PIT,5,5,8,14
SFO,9,3,9,6
SEA,16,18,18,29
TAM,24,2,32,27
TEN,17,17,16,28
