Team,QB Rank,RB Rank,WR Rank,TE Rank
ARI,22,14,4,17
ATL,4,30,30,14
BAL,11,6,12,1
BUF,18,4,25,9
CAR,24,8,22,23
CHI,9,5,28,21
CIN,23,16,27,27
CLE,8,24,29,8
DAL,25,31,16,22
DEN,17,12,9,32
DET,31,32,19,7
GNB,28,7,6,10
HOU,32,26,17,19
IND,12,18,5,12
JAX,30,23,31,29
KAN,19,2,24,5
OAK,29,21,14,25
LAC,14,9,26,26
LAR,3,1,13,11
MIA,10,19,7,2
MIN,27,28,15,31
NWE,21,11,3,13
NOR,2,17,23,16
NYG,20,10,8,18
NYJ,15,20,32,30
PHI,13,27,20,24
PIT,5,15,1,3
SFO,7,13,2,28
SEA,16,25,10,20
TAM,1,22,21,6
TEN,26,29,18,4
WAS,6,3,11,15
