Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17
ARI,DET,BAL,CAR,SEA,CIN,ATL,NYG,NOR,SFO,TAM,SFO,BYE,LAR,PIT,CLE,SEA,LAR
ATL,MIN,PHI,IND,TEN,HOU,ARI,LAR,SEA,BYE,NOR,CAR,TAM,NOR,CAR,SFO,JAX,TAM
BAL,MIA,ARI,KAN,CLE,PIT,CIN,SEA,BYE,NWE,CIN,HOU,LAR,SFO,BUF,NYJ,CLE,PIT
BUF,NYJ,NYG,CIN,NWE,TEN,BYE,MIA,PHI,WAS,CLE,MIA,DEN,DAL,BAL,PIT,NWE,NYJ
CAR,LAR,TAM,ARI,HOU,JAX,TAM,BYE,SFO,TEN,GNB,ATL,NOR,WAS,ATL,SEA,IND,NOR
CHI,GNB,DEN,WAS,MIN,OAK,BYE,NOR,LAC,PHI,DET,LAR,NYG,DET,DAL,GNB,KAN,MIN
CIN,SEA,SFO,BUF,PIT,ARI,BAL,JAX,LAR,BYE,BAL,OAK,PIT,NYJ,CLE,NWE,MIA,CLE
CLE,TEN,NYJ,LAR,BAL,SFO,SEA,BYE,NWE,DEN,BUF,PIT,MIA,PIT,CIN,ARI,BAL,CIN
DAL,NYG,WAS,MIA,NOR,GNB,NYJ,PHI,BYE,NYG,MIN,DET,NWE,BUF,CHI,LAR,PHI,WAS
DEN,OAK,CHI,GNB,JAX,LAC,TEN,KAN,IND,CLE,BYE,MIN,BUF,LAC,HOU,KAN,DET,OAK
DET,ARI,LAC,PHI,KAN,BYE,GNB,MIN,NYG,OAK,CHI,DAL,WAS,CHI,MIN,TAM,DEN,GNB
GNB,CHI,MIN,DEN,PHI,DAL,DET,OAK,KAN,LAC,CAR,BYE,SFO,NYG,WAS,CHI,MIN,DET
HOU,NOR,JAX,LAC,CAR,ATL,KAN,IND,OAK,JAX,BYE,BAL,IND,NWE,DEN,TEN,TAM,TEN
IND,LAC,TEN,ATL,OAK,KAN,BYE,HOU,DEN,PIT,MIA,JAX,HOU,TEN,TAM,NOR,CAR,JAX
JAX,KAN,HOU,TEN,DEN,CAR,NOR,CIN,NYJ,HOU,BYE,IND,TEN,TAM,LAC,OAK,ATL,IND
KAN,JAX,OAK,BAL,DET,IND,HOU,DEN,GNB,MIN,TEN,LAC,BYE,OAK,NWE,DEN,CHI,LAC
LAC,IND,DET,HOU,MIA,DEN,PIT,TEN,CHI,GNB,OAK,KAN,BYE,DEN,JAX,MIN,OAK,KAN
LAR,CAR,NOR,CLE,TAM,SEA,SFO,ATL,CIN,BYE,PIT,CHI,BAL,ARI,SEA,DAL,SFO,ARI
OAK,DEN,KAN,MIN,IND,CHI,BYE,GNB,HOU,DET,LAC,CIN,NYJ,KAN,TEN,JAX,LAC,DEN
MIA,BAL,NWE,DAL,LAC,BYE,WAS,BUF,PIT,NYJ,IND,BUF,CLE,PHI,NYJ,NYG,CIN,NWE
MIN,ATL,GNB,OAK,CHI,NYG,PHI,DET,WAS,KAN,DAL,DEN,BYE,SEA,DET,LAC,GNB,CHI
NWE,PIT,MIA,NYJ,BUF,WAS,NYG,NYJ,CLE,BAL,BYE,PHI,DAL,HOU,KAN,CIN,BUF,MIA
NOR,HOU,LAR,SEA,DAL,TAM,JAX,CHI,ARI,BYE,ATL,TAM,CAR,ATL,SFO,IND,TEN,CAR
NYG,DAL,BUF,TAM,WAS,MIN,NWE,ARI,DET,DAL,NYJ,BYE,CHI,GNB,PHI,MIA,WAS,PHI
NYJ,BUF,CLE,NWE,BYE,PHI,DAL,NWE,JAX,MIA,NYG,WAS,OAK,CIN,MIA,BAL,PIT,BUF
PHI,WAS,ATL,DET,GNB,NYJ,MIN,DAL,BUF,CHI,BYE,NWE,SEA,MIA,NYG,WAS,DAL,NYG
PIT,NWE,SEA,SFO,CIN,BAL,LAC,BYE,MIA,IND,LAR,CLE,CIN,CLE,ARI,BUF,NYJ,BAL
SEA,CIN,PIT,NOR,ARI,LAR,CLE,BAL,ATL,TAM,SFO,BYE,PHI,MIN,LAR,CAR,ARI,SFO
SFO,TAM,CIN,PIT,BYE,CLE,LAR,WAS,CAR,ARI,SEA,ARI,GNB,BAL,NOR,ATL,LAR,SEA
TAM,SFO,CAR,NYG,LAR,NOR,CAR,BYE,TEN,SEA,ARI,NOR,ATL,JAX,IND,DET,HOU,ATL
TEN,CLE,IND,JAX,ATL,BUF,DEN,LAC,TAM,CAR,KAN,BYE,JAX,IND,OAK,HOU,NOR,HOU
WAS,PHI,DAL,CHI,NYG,NWE,MIA,SFO,MIN,BUF,BYE,NYJ,DET,CAR,GNB,PHI,NYG,DAL
