Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Lamar Jackson,BAL,QB,33.42,25
Ryan Tannehill,TEN,QB,16.94,14
Mitchell Trubisky,CHI,QB,19.72,26
Daniel Jones,NYG,QB,28.32,18
Patrick Mahomes,KAN,QB,29.84,17
Taysom Hill,NOR,QB,3.08,17
Andy Lee,ARI,P,1.04,17
Kirk Cousins,MIN,QB,17.3,13
Baker Mayfield,CLE,QB,17.62,3
Dak Prescott,DAL,QB,25.88,10
Derek Carr,OAK,QB,13.12,6
Sam Darnold,NYJ,QB,21.7,30
Kyler Murray,ARI,QB,26.76,24
Drew Brees,NOR,QB,11.48,24
Russell Wilson,SEA,QB,16.58,9
Mason Rudolph,PIT,QB,13.58,12
Aaron Rodgers,GNB,QB,10.02,11
Kyle Allen,CAR,QB,13.48,4
Matt Ryan,ATL,QB,14.58,22
Jameis Winston,TAM,QB,18.32,32
Josh Allen,BUF,QB,25.44,20
Jeff Driskel,DET,QB,18.06,8
Ryan Finley,CIN,QB,8.88,2
Jimmy Garoppolo,SFO,QB,8.02,16
Ryan Fitzpatrick,MIA,QB,13.06,19
Philip Rivers,LAC,QB,10.28,29
Jared Goff,LAR,QB,3.72,5
Randall Cobb,DAL,WR,22.6,24
Dustin Colquitt,KAN,P,0.0,24
Brian Hoyer,IND,QB,6.16,31
Robert Griffin,BAL,QB,-1.2,25
Johnny Hekker,LAR,P,-2.0,25
Derrick Henry,TEN,RB,33.1,26
Nick Chubb,CLE,RB,14.1,14
Joe Mixon,CIN,RB,17.1,8
Melvin Gordon,LAC,RB,20.3,22
Christian McCaffrey,CAR,RB,26.1,24
Dalvin Cook,MIN,RB,31.3,13
Aaron Jones,GNB,RB,27.3,32
Chris Carson,SEA,RB,19.1,3
Damien Williams,KAN,RB,13.9,17
Marlon Mack,IND,RB,9.2,27
Todd Gurley,LAR,RB,7.3,5
Josh Jacobs,OAK,RB,19.1,21
Jamaal Williams,GNB,RB,6.3,32
Brian Hill,ATL,RB,14.1,4
David Montgomery,CHI,RB,6.0,30
Alexander Mattison,MIN,RB,6.4,13
Ezekiel Elliott,DAL,RB,8.3,12
Kalen Ballage,MIA,RB,8.5,6
Peyton Barber,TAM,RB,11.7,20
Devin Singletary,BUF,RB,8.0,25
Tevin Coleman,SFO,RB,11.2,18
Devonta Freeman,ATL,RB,7.8,4
J.D. McKissic,DET,RB,11.5,16
Kenyan Drake,ARI,RB,10.1,2
Le'Veon Bell,NYJ,RB,16.8,15
Mark Ingram,BAL,RB,9.4,28
Kareem Hunt,CLE,RB,14.4,14
Ronald Jones,TAM,RB,22.6,20
Jaylen Samuels,PIT,RB,7.0,19
Raheem Mostert,SFO,RB,4.5,18
Alvin Kamara,NOR,RB,15.4,18
Jordan Wilkins,IND,RB,2.0,27
Austin Ekeler,LAC,RB,12.8,22
Calvin Ridley,ATL,WR,7.7,28
Keenan Allen,LAC,WR,16.6,25
Matt Breida,SFO,RB,4.5,18
Gus Edwards,BAL,RB,1.7,28
Ty Johnson,DET,RB,2.9,16
Bilal Powell,NYJ,RB,1.5,15
Tarik Cohen,CHI,RB,13.7,30
Nyheim Hines,IND,RB,8.4,27
Alex Erickson,CIN,WR,1.3,15
Kenjon Barner,ATL,RB,1.2,4
Frank Gore,BUF,RB,2.6,25
Latavius Murray,NOR,RB,3.9,25
Sammy Watkins,KAN,WR,10.1,16
Tony Brooks-James,PIT,RB,1.1,19
Justice Hill,BAL,RB,1.1,28
Malcolm Brown,LAR,RB,1.0,5
Paul Perkins,DET,RB,2.8,16
Giovani Bernard,CIN,RB,-0.2,8
Tavon Austin,DAL,WR,0.7,24
T.J. Logan,TAM,RB,0.6,20
Darrel Williams,KAN,RB,2.5,17
Ted Ginn,NOR,WR,0.5,17
Darrell Henderson,LAR,RB,0.4,5
Patrick Laird,MIA,RB,3.9,6
