Player Name,Position,Team,Games Played,Total Fantasy Points,Average Fantasy Points
Todd Gurley,RB,LAR,14.0,366.1,26.15
Saquon Barkley,RB,NYG,16.0,383.8,23.99
Christian McCaffrey,RB,CAR,16.0,385.5,24.09
Alvin Kamara,RB,NOR,15.0,348.2,23.21
Patrick Mahomes,QB,KAN,16.0,415.08,25.94
Tyreek Hill,WR,KAN,16.0,328.0,20.5
Ezekiel Elliott,RB,DAL,15.0,329.1,21.94
Travis Kelce,TE,KAN,16.0,294.6,18.41
Antonio Brown,WR,PIT,15.0,323.7,21.58
Davante Adams,WR,GNB,15.0,327.6,21.84
DeAndre Hopkins,WR,HOU,16.0,333.5,20.84
Julio Jones,WR,ATL,16.0,325.9,20.37
Melvin Gordon,RB,LAC,12.0,271.5,22.62
James Conner,RB,PIT,13.0,276.0,21.23
George Kittle,TE,SFO,16.0,256.7,16.04
Mike Evans,WR,TAM,16.0,284.4,17.77
Zach Ertz,TE,PHI,16.0,280.3,17.52
Adam Thielen,WR,MIN,16.0,305.3,19.08
Michael Thomas,WR,NOR,16.0,315.5,19.72
Eric Ebron,TE,IND,16.0,222.2,13.89
Matt Ryan,QB,ATL,16.0,350.96,21.94
JuJu Smith-Schuster,WR,PIT,16.0,294.9,18.43
Kareem Hunt,RB,KAN,11.0,230.2,20.93
Joe Mixon,RB,CIN,14.0,243.4,17.39
Robert Woods,WR,LAR,16.0,265.6,16.6
David Johnson,RB,ARI,16.0,244.6,15.29
Ben Roethlisberger,QB,PIT,16.0,333.86,20.87
James White,RB,NWE,16.0,276.6,17.29
Phillip Lindsay,RB,DEN,15.0,222.8,14.85
Derrick Henry,RB,TEN,16.0,201.36,12.58
Deshaun Watson,QB,HOU,16.0,331.7,20.73
Tyler Lockett,WR,SEA,16.0,220.4,13.78
Stefon Diggs,WR,MIN,15.0,264.3,17.62
Brandin Cooks,WR,LAR,16.0,243.2,15.2
Keenan Allen,WR,LAC,16.0,258.1,16.13
T.Y. Hilton,WR,IND,14.0,239.0,17.07
Chris Carson,RB,SEA,14.0,201.4,14.39
Andrew Luck,QB,IND,16.0,323.92,20.24
Jared Cook,TE,OAK,16.0,193.6,12.1
Nick Chubb,RB,CLE,16.0,194.5,12.16
Odell Beckham,WR,NYG,12.0,230.34,19.2
Adrian Peterson,RB,WAS,16.0,189.0,11.81
Aaron Rodgers,QB,GNB,16.0,306.58,19.16
Tyler Boyd,WR,CIN,14.0,221.1,15.79
Jared Goff,QB,LAR,16.0,304.32,19.02
Tarik Cohen,RB,CHI,16.0,233.94,14.62
Calvin Ridley,WR,ATL,16.0,206.8,12.92
Tevin Coleman,RB,ATL,16.0,193.6,12.1
Marlon Mack,RB,IND,12.0,174.1,14.51
Jordan Howard,RB,CHI,16.0,180.0,11.25
Amari Cooper,WR,2TM,15.0,215.5,14.37
Drew Brees,QB,NOR,15.0,302.98,20.2
